SMILES,Name,IC50
c1c[nH]c(c12)ncc(c2)-c3cncc(n3)N(CC4)c(c45)cccc5,475854,500
N#Cc1cc(C=C)c(nc1)C(=O)Nc(c2)ccc(c23)[nH]nc3-c4ccoc4,1200656,100
C=C(C)c1c(C#N)cccc1C(=O)Nc(c2)ccc(c23)[nH]nc3-c4cnco4,1200915,100
C=C(C)c1c(C#N)cccc1C(=O)Nc(c2)ccc(c23)[nH]nc3C,1201036,100
N#Cc(c1)cnc(c1C(=C)C)C(=O)Nc(c2)ccc(c23)[nH]nc3-c4cnco4,1200987,100
N#Cc(c1)cnc(c1C(=C)C)C(=O)Nc(c2)ccc(c23)[nH]nc3C,1201114,550
N#Cc1c(C)c(C)c(nc1)C(=O)Nc(c2)ccc(c23)[nH]nc3C(=C)C,1201022,100
N#Cc1c(Cl)nc(c(C)c1)C(=O)Nc(c2)ccc(N)c2C(C)=N,1201102,100
N#Cc1c(Cl)c(C)c(nc1)C(=O)Nc(c2)ccc(N)c2C(C)=N,1201100,100
CC(=O)N(CC1)CCC1n(n2)cc(c2C)Nc(nc3)nc(c3C(F)(F)F)C4CC4,1127539,45
CC(=O)N(CC1)CCC1n2ncc(c2C)Nc(nc3)nc(c3C(F)(F)F)C4CC4,1127538,60
CC(=O)N(CC1)CCC1n(nc2)c(Cl)c2Nc(nc3)nc(c34)n(C)cc4Cl,1181771,55
CC(=O)N(C1)CCC(C1(F)F)COc(c2Cl)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257888,50
CC(=O)N(CC1)CC(F)C1COc(c2F)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257966,50
N#CC(C)(C)n(n1)cc(c1C)Nc(nc2)nc(c2Cl)OCC(C3(F)F)CCN(C3)C(=O)C,1257889,50
N#CC(C)(C)n(n1)cc(c1C)Nc(nc2)nc(c2F)OCC3C(F)CN(C(=O)C)CC3,1257969,300
CC(=O)N1CCN(CC1)c(ncn2)cc2-c3n[nH]c(c34)ccc(c4)OC5(C)CC5,448507,1.2
CC(=O)N1CCN(CC1)c(ncn2)cc2-c3n[nH]c(c34)ccc(c4)-c5cnn(C)c5,417647,3.15
CC(=O)N1CCN(CC1)c(c(Cl)c2)cc(c23)nc(nc3)Nc4c(Cl)n(nc4)C5CC5,1324957,7.16
c1cc(F)c2cc1OC[C@H](CN(C(=O)C)CC3)N3CCNc(n4)ccn(c4c25)nc5,819733,100
N#Cc(c1)ccc(c12)NC(=O)C/2=C\c(c3)[nH]c(c34)CCN(C4)C(=O)C,51069934,7
CC(=O)N(C1)CCc(c12)[nH]c(c2)/C=C/3C(=O)Nc(c34)ccc(C(F)(F)F)c4,51069935,31
n1nnn(c12)CC(=C(C)N2C(=O)C)C(=O)Nc(c3)ccc(c34)[nH]nc4,51520756,513
CC(=O)NC(CC1)(CC2)CCC12COc3ccnc(n3)Nc4ccc(cc4)N5CCOCC5,1257870,400
N#CC(C)(C)n(n1)cc(c1C)Nc(n2)nccc2OCC34CCC(CC3)(CC4)NC(=O)C,1257871,300
CC(=O)NC(CC1)CCC1(C)COc2ccnc(n2)Nc3ccc(cc3)N4CCOCC4,1257884,400
CC(=O)NC(CCC1)CCC1COc(c2F)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257878,50
CC(=O)NC1CCN(CC1)c2ncnc(c23)[nH]cc3-c4cc(Cl)ccc4,51445440,1390
N#Cc1cc(ccc1)-c2c[nH]c(c23)ncnc3N(CC4)CCC4NC(=O)C,334364,50
CC(=O)NCc1c(cccc1F)-c(cc2)cn(c23)cc(n3)NC(=O)[C@H]4[C@@H](F)C4,1080949,1000
CC(=O)N[C@@H](CC1)C[C@@H]1COc2ccnc(n2)Nc3ccc(cc3)N4CCOCC4,1257882,400
CC(=O)N[C@@H](CC1)C[C@@H]1COc(c2F)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257971,125
N#CC(C)(C)n(n1)cc(c1C)Nc(nc2)nc(c2F)OC[C@H]3C[C@H](CC3)NC(=O)C,1257973,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc2ccnc(n2)Nc3ccc(cc3)N4CCOCC4,1257865,125
N#CC(C)(C)n(n1)cc(c1C)Nc(n2)nccc2OC[C@H]3CC[C@@H](CC3)NC(=O)C,1257867,125
